feature,importance
ret_10,0.12747567685348005
roll_mean_5,0.10067790147570568
roll_std_5,0.08742217954765884
roll_mean_20,0.08334825149003831
macd_hist,0.07050385346000082
macd,0.055582343209319894
ema_20,0.053692178551196526
macd_sig,0.05206248574754545
roll_std_20,0.04721939478679794
ema_10,0.03397324601323575
rsi_14,0.028161383283420695
dist_ema20_z,0.020338738166760878
ema_50,0.0182935854215779
close,0.016264084627010865
close,0.015587517979697419
ret_5,0.014793942509253017
ret_1,0.013443384016956144
